p.value	HR	Low 95%CI	High 95%CI
CBLC	0.0119355922676173	1.22392723595723	1.04554028264129	1.43275003726648
RAET1G	0.00463568513409559	1.22155404313979	1.06352531361127	1.40306418776657
IL20RB	0.00333645840493517	1.22097595717582	1.0685704463512	1.39511839681878
IL20RB.1	0.00333645840493517	1.22097595717582	1.0685704463512	1.39511839681878
SOD1	0.00833376265507845	1.22067439806009	1.05260227577849	1.41558309379232
UCN2	0.00111070970926631	1.22056017493577	1.08276026700326	1.37589749646287
PSMD8	0.00889711689877704	1.22030518757368	1.05119666386121	1.41661860431459
TMSB10	0.00931902738170498	1.21965518326495	1.05010291102789	1.4165837942578
HSPA1A	0.011197341345316	1.21848393323822	1.04593800503009	1.41949435666311
PSMD4	0.0141164616464968	1.21808121408482	1.04053383018499	1.42592369518881
EPGN	0.00034224331861126	1.21755212210549	1.09319749467344	1.35605247658057
MAP2K1	0.00870748240709698	1.21449989617519	1.05036863275494	1.40427841408483
MAP2K1.1	0.00870748240709698	1.21449989617519	1.05036863275494	1.40427841408483
KRAS	0.00809312460783085	1.21384412852567	1.05165189492686	1.40105064752318
KRAS.1	0.00809312460783085	1.21384412852567	1.05165189492686	1.40105064752318
KRAS.2	0.00809312460783085	1.21384412852567	1.05165189492686	1.40105064752318
PPARD	0.0153165202674177	1.21028746762167	1.0372656442038	1.41217031766866
NDRG1	0.010617139671641	1.21014653506951	1.04542657808344	1.40082016952878
INHA	0.00517701543361619	1.21003733090756	1.05865339114847	1.3830686742537
INHA.1	0.00517701543361619	1.21003733090756	1.05865339114847	1.3830686742537
SEMA3A	0.00761838001116756	1.20999766699114	1.05191711906566	1.39183432571612
SEMA3A.1	0.00761838001116756	1.20999766699114	1.05191711906566	1.39183432571612
NMB	0.00617255288786344	1.20983156218533	1.05564399977696	1.38653978914204
PAK1	0.0130682561977678	1.20876591589623	1.04067809652167	1.40400287496779
PAK1.1	0.0130682561977678	1.20876591589623	1.04067809652167	1.40400287496779
NLRX1	0.0146729930904048	1.20860644457983	1.03800135119633	1.40725205819467
GAL	0.00335040965590303	1.20843042110779	1.06485113317864	1.37136923383803
RAET1L	0.0010466374970994	1.2083471604839	1.07905431569373	1.35313194063895
NRAS	0.0089613491964752	1.20806526109451	1.04840298447957	1.39204265599055
NRAS.1	0.0089613491964752	1.20806526109451	1.04840298447957	1.39204265599055
NRAS.2	0.0089613491964752	1.20806526109451	1.04840298447957	1.39204265599055
HDGF	0.0114365854707935	1.20631558432618	1.04311157439228	1.39505430168007
GMFB	0.0117369425509444	1.2042729699239	1.04217089090344	1.39158884473554
MC1R	0.00926464665219151	1.20290271497165	1.04664568627954	1.3824878472768
PSMD7	0.0118384964201053	1.20129952530381	1.04141942419443	1.38572463310011
ELAVL1	0.018668681671896	1.19890810597235	1.03070519597167	1.39456039630338
TPM2	0.0148582313129783	1.19883620406514	1.03606317808403	1.3871820508428
VAV2	0.0191076891847952	1.1976575316444	1.02995378532275	1.39266788815681
VAV2.1	0.0191076891847952	1.1976575316444	1.02995378532275	1.39266788815681
VAV2.2	0.0191076891847952	1.1976575316444	1.02995378532275	1.39266788815681
TAP1	0.0126923412732549	1.19746039671504	1.03923953275052	1.37976987644595
SEMA4G	0.0139610213093971	1.19739608024571	1.03719196246261	1.38234524068584
SEMA4G.1	0.0139610213093971	1.19739608024571	1.03719196246261	1.38234524068584
IL1A	0.00619364002085188	1.19680836532505	1.05234556935896	1.36110257411407
IL1A.1	0.00619364002085188	1.19680836532505	1.05234556935896	1.36110257411407
IL1A.2	0.00619364002085188	1.19680836532505	1.05234556935896	1.36110257411407
IL1A.3	0.00619364002085188	1.19680836532505	1.05234556935896	1.36110257411407
PDF	0.0212022656611491	1.19525904762897	1.02701576195505	1.3910635492286
TUBB3	0.0169179320140489	1.1942682204767	1.03236430590965	1.38156324688487
ADRM1	0.0472564609715955	1.1909943010624	1.00211930772813	1.41546761371046
NR1H4	0.00902262971869158	1.19056635564926	1.04446268959274	1.35710759352893
GNAI1	0.0213103939805752	1.18874623853967	1.02605138650174	1.3772386434369
GNAI1.1	0.0213103939805752	1.18874623853967	1.02605138650174	1.3772386434369
HSPA1B	0.020602735898842	1.18820915779567	1.02681197395792	1.37497520332516
PML	0.0266357980054751	1.18649882173335	1.02001121455485	1.38016076086872
PSME2	0.0222744018224501	1.18621967851233	1.02463237041052	1.37328974403389
PSME2.1	0.0222744018224501	1.18621967851233	1.02463237041052	1.37328974403389
IFNA17	0.018275295191264	1.18608799568261	1.02935014166369	1.36669212599381
IFNA17.1	0.018275295191264	1.18608799568261	1.02935014166369	1.36669212599381
IFNA17.2	0.018275295191264	1.18608799568261	1.02935014166369	1.36669212599381
IFNA17.3	0.018275295191264	1.18608799568261	1.02935014166369	1.36669212599381
OASL	0.0192788886294895	1.1854437544415	1.02801957319565	1.36697484326683
ADIPOQ	0.000315899388200247	1.18474302313799	1.0803432933272	1.2992314938628
ADIPOQ.1	0.000315899388200247	1.18474302313799	1.0803432933272	1.2992314938628
RARG	0.029370272801214	1.18357213004382	1.01704913949656	1.37736018115102
NRG4	0.0110036320627295	1.18310241671968	1.03928026620157	1.34682758248051
LCN1	0.00692929094077103	1.18286121841181	1.04711556867462	1.33620462141886
NR2F2	0.0171612447938799	1.18233055900901	1.0301932142327	1.35693531218581
KLRC2	0.015795357540453	1.18218753849063	1.03195710840347	1.35428824006524
KLRC2.1	0.015795357540453	1.18218753849063	1.03195710840347	1.35428824006524
NCK2	0.0259996340789075	1.18142979809985	1.02014031653494	1.36821998426571
ISG15	0.0274947041941577	1.18112667161305	1.01863187741631	1.36954305605888
GREM1	0.0249596442552654	1.18003030485888	1.02104448982336	1.36377164194504
PPP4C	0.0389763136946758	1.17853297397443	1.00834771798497	1.37744147774798
QRFP	0.02493747601404	1.17842705025287	1.02089228314916	1.36027114289078
PTHLH	0.0244282793356496	1.17771918114143	1.02133116735659	1.35805360098658
CXCL5	0.0300361874366633	1.17745315822084	1.01591005021939	1.36468375276417
CXCL5.1	0.0300361874366633	1.17745315822084	1.01591005021939	1.36468375276417
CXCL5.2	0.0300361874366633	1.17745315822084	1.01591005021939	1.36468375276417
GHRHR	0.0100540138736478	1.17530791809029	1.0392839036286	1.32913508763374
ISG20L2	0.0325483424829203	1.17522370639712	1.01350848861578	1.36274217294826
ADAR	0.0310341917702248	1.17506665526574	1.01482045708489	1.36061668315571
DEFB1	0.0273292994007186	1.17462664482374	1.01816452514044	1.35513241785709
DEFB1.1	0.0273292994007186	1.17462664482374	1.01816452514044	1.35513241785709
DEFB1.2	0.0273292994007186	1.17462664482374	1.01816452514044	1.35513241785709
IFNE	0.00437954455931245	1.17401741527389	1.05135546808199	1.3109903673977
IFNE.1	0.00437954455931245	1.17401741527389	1.05135546808199	1.3109903673977
BMP7	0.0241006236051715	1.17343550623956	1.02117869963363	1.34839366292863
BMP7.1	0.0241006236051715	1.17343550623956	1.02117869963363	1.34839366292863
AKT2	0.0271965034378379	1.17281870129933	1.01811337525111	1.35103195729865
AKT2.1	0.0271965034378379	1.17281870129933	1.01811337525111	1.35103195729865
AP3B1	0.0247578360275673	1.17241987259935	1.02041172824212	1.34707228427673
TBK1	0.0280805636952743	1.17193099425767	1.01720937871484	1.35018638644187
VTN	0.0480224373147922	1.17084697654587	1.00137352675129	1.36900228123075
PSMD13	0.0349522506972343	1.16958796677201	1.01112534066247	1.35288470875594
PSMB8	0.0360255940734922	1.16842393355005	1.01019845183718	1.35143197458851
HSPA6	0.0300370256550116	1.16792778057324	1.01511225518511	1.34374823441178
C5AR2	0.0417049956935295	1.16723013004338	1.00582484376522	1.35453621465638
C5AR2.1	0.0417049956935295	1.16723013004338	1.00582484376522	1.35453621465638
EREG	0.0218232536394982	1.16721197524505	1.02273616317005	1.3320970199515
FGA	0.0352848475513154	1.16648395532174	1.01067189991372	1.34631705713714
GIP	0.0119894210166376	1.16569730283473	1.03428990079037	1.31380012586198
ITGAV	0.0388611692312433	1.1651781627851	1.00785252476495	1.34706231087519
ZYX	0.0477441234977361	1.16396865545184	1.00151017325798	1.35278009854561
PRTN3	0.0254869039203438	1.1627059043271	1.01866042978405	1.32712038323085
PI3	0.0258262459500307	1.16121544501791	1.01819298741965	1.32432783019392
STAT1	0.045668140372882	1.16108460557381	1.00288023454749	1.3442457183422
BID	0.0318474497723992	1.1585470884546	1.01285986334972	1.32518959901089
IFNL3	0.0219997188587403	1.15764578239291	1.02134253234203	1.31213938033014
IFNL3.1	0.0219997188587403	1.15764578239291	1.02134253234203	1.31213938033014
PTX3	0.0349545480062654	1.15612703645054	1.0102972893134	1.32300634531078
S100A3	0.0425252241717183	1.15559900677717	1.00488727910504	1.32891428942529
SEMA6B	0.0497092104063683	1.15395675427236	1.00018198456023	1.33137390123689
SEMA6B.1	0.0497092104063683	1.15395675427236	1.00018198456023	1.33137390123689
ISG20	0.0483089507700793	1.15293502714258	1.00105829081173	1.32785392120812
VIPR2	0.0373929645106652	1.1525965344021	1.00832327313917	1.31751275261141
PRKCG	0.0422984122052328	1.15043318096704	1.00488486859309	1.31706282504076
FGF8	0.0359407483849063	1.14901197591279	1.00915569631673	1.30825057581269
PSMD3	0.0471767911536033	1.14826024721172	1.00172517928861	1.31623086110613
REG3G	0.0100722952512312	1.14821822650487	1.03349232389388	1.27567962063873
CD70	0.041010341720786	1.1477992976418	1.00564606518842	1.31004661905595
LECT2	0.0302276956703826	1.14631778756657	1.0131374043574	1.29700518847684
LECT2.1	0.0302276956703826	1.14631778756657	1.0131374043574	1.29700518847684
NOS1	0.0265199435172128	1.14611309438192	1.01602042721068	1.2928630074101
TNFSF11	0.0494809682503459	1.13931793767785	1.00029615569123	1.29766105340827
TNFSF11.1	0.0494809682503459	1.13931793767785	1.00029615569123	1.29766105340827
TNFSF11.2	0.0494809682503459	1.13931793767785	1.00029615569123	1.29766105340827
IFNA1	0.0486448155918412	1.13764385883921	1.0007673482711	1.29324118316854
IFNA1.1	0.0486448155918412	1.13764385883921	1.0007673482711	1.29324118316854
IFNA1.2	0.0486448155918412	1.13764385883921	1.0007673482711	1.29324118316854
IFNA1.3	0.0486448155918412	1.13764385883921	1.0007673482711	1.29324118316854
IAPP	0.0165143794197225	1.13715052565144	1.02372578260963	1.26314227887571
ACTA1	0.0303436461232147	1.13161440891176	1.01180873164152	1.2656059692025
SCG2	0.0455579827399518	1.13064202466563	1.00242871796942	1.27525415525755
CGB8	0.0415362057111911	1.11654676206319	1.00423726223635	1.24141646476804
FGF5	0.0220644801949898	1.11054780397525	1.01519667786867	1.21485466983945
IL10RA	0.0476829662342426	0.87049665154968	0.758838277363885	0.998584867109749
IL10RA.1	0.0476829662342426	0.87049665154968	0.758838277363885	0.998584867109749
A2M	0.0455011629790616	0.869355729446358	0.757900053583021	0.997201914352973
CSF2RB	0.041236289696766	0.867127986541769	0.756186668876589	0.994345676790416
CYLD	0.0485235053394973	0.866126343156601	0.750874234383423	0.999068562960918
CX3CL1	0.0487595943829892	0.865763899088034	0.750135288763214	0.99921592836931
CX3CL1.1	0.0487595943829892	0.865763899088034	0.750135288763214	0.99921592836931
CXCR4	0.0412415012543819	0.863896013452596	0.750669003365056	0.99420159712702
CXCR4.1	0.0412415012543819	0.863896013452596	0.750669003365056	0.99420159712702
CXCR4.2	0.0412415012543819	0.863896013452596	0.750669003365056	0.99420159712702
IL7R	0.0434521842678114	0.863739716798779	0.749266423051512	0.995702296837537
IL7R.1	0.0434521842678114	0.863739716798779	0.749266423051512	0.995702296837537
IL7R.2	0.0434521842678114	0.863739716798779	0.749266423051512	0.995702296837537
CCL17	0.0466923948525355	0.861894742981176	0.744480409191832	0.99782685858047
CCL17.1	0.0466923948525355	0.861894742981176	0.744480409191832	0.99782685858047
CCL17.2	0.0466923948525355	0.861894742981176	0.744480409191832	0.99782685858047
SORT1	0.03516018753786	0.861389733771287	0.749734306504615	0.989673631057191
CD1A	0.0483515562650336	0.858870561222584	0.738472047539687	0.998898527564312
CD74	0.0237378923947458	0.857924516197426	0.751221039125208	0.979784160930442
ABCC4	0.0428621716197764	0.85702166977562	0.738137548620356	0.995053217165028
TNFRSF13C	0.043737391174253	0.856335115888425	0.736510875432547	0.99565377126709
TNFRSF13C.1	0.043737391174253	0.856335115888425	0.736510875432547	0.99565377126709
APOBEC3H	0.044654761132507	0.855992159493015	0.735447218777976	0.99629525872844
GMFG	0.0264632551876458	0.855747193963522	0.745758035531167	0.981958256011091
PLCG2	0.0307430254118461	0.855646345724	0.742796192809514	0.985641385938803
PLCG2.1	0.0307430254118461	0.855646345724	0.742796192809514	0.985641385938803
HLA-DRB1	0.0250935438310675	0.855148656457465	0.745723886336391	0.980630013386927
HLA-DQA1	0.0236546707557461	0.854122926137944	0.745079691523818	0.979124758403273
HLA-DPA1	0.0210001788879096	0.853554482426342	0.746160129314848	0.976406036515363
ANGPT1	0.0366614792365568	0.852707247410444	0.734328385230084	0.990169608598848
CTF1	0.0261506533958571	0.851773029683103	0.739467168740942	0.981135234618783
KITLG	0.035400643531445	0.85166144424981	0.733330779420386	0.98908601135624
CD48	0.0270086326032597	0.850568608408924	0.736903375291346	0.981766377884563
TRIM22	0.0236698616280511	0.848750415624582	0.736345934071469	0.978313635874551
RBP5	0.0227061843086087	0.848670027320338	0.736946311288429	0.977331461246723
SH2D1A	0.0293811789906965	0.848216033639812	0.731442042528893	0.983632875731552
HLA-DQB1	0.0157203989112152	0.847332542642159	0.74075092376853	0.969249466700333
ANGPTL6	0.0332047560890165	0.846885856745122	0.726773230021312	0.98684930144426
RORA	0.0417926218314055	0.846751314019889	0.721431992006356	0.99383974614213
ICOS	0.0255420729161456	0.845965867803619	0.730451620351583	0.979747637693333
BMP3	0.0296174791309836	0.844939245586789	0.725923127796765	0.983468223280865
BMP3.1	0.0296174791309836	0.844939245586789	0.725923127796765	0.983468223280865
CTLA4	0.0241711983192102	0.844565411004411	0.729203193642495	0.978178290610659
FGFR2	0.0271612721556593	0.844131815298296	0.72631080494349	0.981065566901811
SYTL1	0.0220303469293869	0.842866237669088	0.728136321415812	0.975673749142294
DMBT1	0.0189786165680346	0.840879899382882	0.727531331916187	0.971888046833456
TNFSF8	0.019338939030992	0.839647661136653	0.725257829203683	0.972079399165306
TNFSF8.1	0.019338939030992	0.839647661136653	0.725257829203683	0.972079399165306
FCGRT	0.0143658373253641	0.839509214929388	0.729788279314498	0.965726282440936
TNFRSF19	0.0208923814692765	0.838578174482574	0.722221590864375	0.973680880790202
TNFRSF19.1	0.0208923814692765	0.838578174482574	0.722221590864375	0.973680880790202
HLA-DRA	0.00992126133500578	0.838533456595366	0.733479985281675	0.958633325979237
CD28	0.0175903955607889	0.838399740455983	0.724863391557041	0.969719443668918
HLA-DPB1	0.00967268376721342	0.837693052461824	0.73252017757896	0.957966308125577
CMTM7	0.0128605686907676	0.837409703651821	0.728151089777621	0.963062503943234
GH1	0.0413734714936189	0.836850970159693	0.705216647196946	0.99305589146372
HLA-DOA	0.0116709462409754	0.836509402777901	0.728144985903585	0.961000891968644
GDF15	0.0192265189309875	0.835405961569417	0.718638781531782	0.971145919982412
GDF15.1	0.0192265189309875	0.835405961569417	0.718638781531782	0.971145919982412
GDF15.2	0.0192265189309875	0.835405961569417	0.718638781531782	0.971145919982412
PTPRC	0.011469612206268	0.835258601730926	0.726456994714661	0.960355446834852
UTS2	0.0482257880627922	0.835190234011133	0.698523382839451	0.998596101610952
NCR3	0.0184507966062157	0.835123953410395	0.718898521830607	0.97013972957388
IL33	0.015938340391875	0.834840810960506	0.720867447702792	0.966834030120537
IL33.1	0.015938340391875	0.834840810960506	0.720867447702792	0.966834030120537
CCR7	0.0163410967464532	0.83480416165075	0.720408334665763	0.967365249366167
CCR7.1	0.0163410967464532	0.83480416165075	0.720408334665763	0.967365249366167
CCR7.2	0.0163410967464532	0.83480416165075	0.720408334665763	0.967365249366167
IL11RA	0.020417503039863	0.834050178120952	0.71544091797364	0.972323055821114
IL11RA.1	0.020417503039863	0.834050178120952	0.71544091797364	0.972323055821114
ZAP70	0.0233813043310321	0.833869526679288	0.712667327690703	0.975684390888923
ZAP70.1	0.0233813043310321	0.833869526679288	0.712667327690703	0.975684390888923
PTGDR	0.0404510437787439	0.833852018852567	0.700827430955584	0.992126104990556
PTGDR.1	0.0404510437787439	0.833852018852567	0.700827430955584	0.992126104990556
CXCR6	0.0211923660505608	0.833803779169349	0.714381636990646	0.973189547656573
CXCR6.1	0.0211923660505608	0.833803779169349	0.714381636990646	0.973189547656573
CXCR6.2	0.0211923660505608	0.833803779169349	0.714381636990646	0.973189547656573
HLA-DRB5	0.00826531968936995	0.832858630427757	0.727152802627684	0.953930859884427
GPHA2	0.0347679171841778	0.830207941409781	0.698485719593439	0.986770676401299
CAT	0.00817313256915004	0.828931623552415	0.721334436509306	0.952578445929188
FLT3	0.0174049664374904	0.827395565834968	0.707771312998138	0.967238159828001
TSLP	0.029420902406014	0.826950917109586	0.696969266884811	0.981173563599046
IL24	0.0141036567639814	0.826671292411592	0.710108357877823	0.962367810653246
IL24.1	0.0141036567639814	0.826671292411592	0.710108357877823	0.962367810653246
NOD1	0.0112115535464528	0.826471322096039	0.713276034537958	0.957630444838428
ITK	0.0159193973411697	0.826439180817955	0.707787285196131	0.964981617890734
PRKCB	0.0107897763634635	0.825503719552984	0.712350899481576	0.956630210605127
PRKCB.1	0.0107897763634635	0.825503719552984	0.712350899481576	0.956630210605127
ITGAL	0.00993490295820995	0.825247040582738	0.713128513345137	0.954992915366665
FGF14	0.0218278401728553	0.823725346349009	0.69792321279657	0.972203580246257
PGC	0.0102691375560219	0.823645976047569	0.710227282483652	0.955176899832722
MAP3K8	0.00882798590937392	0.823130623848632	0.711541246870597	0.952220306127464
CHIT1	0.0121763508478099	0.821873297233815	0.705016684957641	0.958098909030171
TNFRSF17	0.00963448716742499	0.821844621274637	0.708393452456071	0.953465308263751
TNFRSF17.1	0.00963448716742499	0.821844621274637	0.708393452456071	0.953465308263751
HLA-DMB	0.00425218759513958	0.821726169862142	0.718232961847343	0.940132149462426
TLR2	0.00619414770334604	0.821686567610899	0.713895336429438	0.945753223111178
CD22	0.0107985669923366	0.820878538751015	0.705294614675703	0.955404396064809
CD79B	0.00745344258513289	0.820413007825237	0.7096840582088	0.948418518950052
RXFP1	0.0172526667388728	0.820056524941843	0.696515858360609	0.965509537259552
ADRB1	0.0130960949138739	0.820048964418021	0.701096995321696	0.959182978290334
WFDC2	0.00547151288291301	0.8199405488994	0.712771813086177	0.943222629439424
AGER	0.00874024672672162	0.819165872680854	0.705696446221436	0.950880127791414
CCL14	0.0125676296733967	0.818939391841337	0.700047846696426	0.958022698983159
CCL14.1	0.0125676296733967	0.818939391841337	0.700047846696426	0.958022698983159
CCL14.2	0.0125676296733967	0.818939391841337	0.700047846696426	0.958022698983159
OGN	0.0119118501943694	0.818610556347468	0.700375261412566	0.956805986567771
BTK	0.00334785048366255	0.818318568669065	0.715731403893799	0.935609749950207
GRAP2	0.0115366000388094	0.818302789556809	0.700394800239274	0.956060003825978
CTSG	0.0113511577139084	0.817997964774081	0.700176685047977	0.955645460157946
CTSG.1	0.0113511577139084	0.817997964774081	0.700176685047977	0.955645460157946
CTSG.2	0.0113511577139084	0.817997964774081	0.700176685047977	0.955645460157946
SHC3	0.00927647414627248	0.817754161599151	0.702745141467351	0.951585189783627
TLR7	0.0064450251569449	0.815604106292411	0.704357072431993	0.944421635327968
PIK3CG	0.00570187436996061	0.815415514131838	0.705582285786225	0.942345739230109
PIK3CG.1	0.00570187436996061	0.815415514131838	0.705582285786225	0.942345739230109
PIK3CG.2	0.00570187436996061	0.815415514131838	0.705582285786225	0.942345739230109
PIK3CG.3	0.00570187436996061	0.815415514131838	0.705582285786225	0.942345739230109
SEMA4A	0.00800926481280287	0.814722975850333	0.700218857405194	0.947951515956272
SEMA4A.1	0.00800926481280287	0.814722975850333	0.700218857405194	0.947951515956272
AVPR2	0.0291695135733628	0.814689245458659	0.677659425795841	0.979427927069013
PTGDS	0.0053183127399118	0.812989465220365	0.702836095393874	0.940406838651184
PTGDS.1	0.0053183127399118	0.812989465220365	0.702836095393874	0.940406838651184
ARRB1	0.00438277970646743	0.810514581782007	0.70145154293542	0.936534952267889
ARRB1.1	0.00438277970646743	0.810514581782007	0.70145154293542	0.936534952267889
CD79A	0.00471985815433389	0.809092550318833	0.698522835747326	0.937164429679763
CR2	0.00675304658828684	0.808332969521045	0.69298914514808	0.942875071261166
RFXAP	0.00517190234947409	0.807731381806281	0.69544872329121	0.938142473059783
ROBO2	0.0125007180369962	0.807234062258781	0.68237143077393	0.954944480210364
ROBO2.1	0.0125007180369962	0.807234062258781	0.68237143077393	0.954944480210364
CCR4	0.00486129769781413	0.806007240696876	0.693668315923168	0.936539347614872
CCR4.1	0.00486129769781413	0.806007240696876	0.693668315923168	0.936539347614872
CCR4.2	0.00486129769781413	0.806007240696876	0.693668315923168	0.936539347614872
CIITA	0.00300610795940266	0.803832937996316	0.695859979732351	0.928559496202552
SCGB3A1	0.00316181698046741	0.803630016067957	0.695038931586587	0.929187090644188
CD1D	0.00227443893595725	0.803146934176903	0.697673273603973	0.924566014325944
NR0B2	0.010861051931755	0.802867887273405	0.678062780874162	0.950644781864951
