ID	description	GeneRatio	BgRatio	pValue	FDR	qvalue	geneID	size	DB	enrichmentRatio
GO:0051604	GO:0051604	protein maturation	17/217	353/17913	1.50909538731071e-06	0.000622684182780594	0.000527403471601133	C7/LRRK2/CTSH/A2M/CYFIP2/TMPRSS2/CTSE/C4BPA/C1QB/CR2/VSIG4/C1QC/APOH/FGA/ADAM8/FGG/TESC	17	geneontology_Biological_Process	0.0783410138248848
GO:0050727	GO:0050727	regulation of inflammatory response	20/217	479/17913	1.62498230344635e-06	0.000622684182780594	0.000527403471601133	C7/LRRK2/A2M/PBK/IL33/AGER/SCGB1A1/C4BPA/C1QB/CR2/VSIG4/C1QC/APOD/IL2RA/ANXA1/ADAM8/GBP5/ITGA2/SLC7A2/NT5E	20	geneontology_Biological_Process	0.0921658986175115
GO:0052547	GO:0052547	regulation of peptidase activity	18/217	398/17913	1.80371987287588e-06	0.000622684182780594	0.000527403471601133	CTSH/A2M/LAMP3/CYFIP2/AQP1/AGER/ITIH5/COL4A3/BIRC5/FAS/DLC1/LTF/CPAMD8/GPC3/PI3/CST6/AIM2/AMBP	18	geneontology_Biological_Process	0.0829493087557604
GO:0045861	GO:0045861	negative regulation of proteolysis	16/217	324/17913	2.24070694950892e-06	0.000696187649212421	0.000589659723554979	LRRK2/A2M/PBK/LAMP3/AQP1/ITIH5/COL4A3/BIRC5/C4BPA/VSIG4/LTF/CPAMD8/GPC3/PI3/CST6/AMBP	16	geneontology_Biological_Process	0.0737327188940092
GO:0052548	GO:0052548	regulation of endopeptidase activity	17/217	370/17913	2.85260949526228e-06	0.000805732518343628	0.000682442462981407	CTSH/A2M/LAMP3/CYFIP2/AQP1/AGER/ITIH5/COL4A3/BIRC5/FAS/DLC1/LTF/CPAMD8/PI3/CST6/AIM2/AMBP	17	geneontology_Biological_Process	0.0783410138248848
GO:0051250	GO:0051250	negative regulation of lymphocyte activation	10/217	132/17913	4.7693039332381e-06	0.00123485227671423	0.00104589998535923	SFTPD/SCGB1A1/GAL/INHA/VSIG4/FGL1/PDCD1LG2/IL2RA/CD274/ANXA1	10	geneontology_Biological_Process	0.0460829493087558
GO:0019730	GO:0019730	antimicrobial humoral response	9/217	106/17913	5.65485334038135e-06	0.00135150994835114	0.00114470715392335	SFTPD/DMBT1/LTF/CCL13/FGA/PI3/BPIFA2/PGC/BPIFA1	9	geneontology_Biological_Process	0.0414746543778802
GO:0032945	GO:0032945	negative regulation of mononuclear cell proliferation	7/217	65/17913	1.33322130439731e-05	0.00275298321367729	0.0023317324324338	SFTPD/SCGB1A1/GAL/VSIG4/PDCD1LG2/IL2RA/CD274	7	geneontology_Biological_Process	0.032258064516129
GO:0050672	GO:0050672	negative regulation of lymphocyte proliferation	7/217	65/17913	1.33322130439731e-05	0.00275298321367729	0.0023317324324338	SFTPD/SCGB1A1/GAL/VSIG4/PDCD1LG2/IL2RA/CD274	7	geneontology_Biological_Process	0.032258064516129
GO:0019731	GO:0019731	antibacterial humoral response	6/217	44/17913	1.41769331891975e-05	0.00275298321367729	0.0023317324324338	SFTPD/DMBT1/LTF/FGA/PGC/BPIFA1	6	geneontology_Biological_Process	0.0276497695852535
GO:0050714	GO:0050714	positive regulation of protein secretion	13/217	256/17913	1.52182868851369e-05	0.00278136572659531	0.00235577196364348	LRRK2/IL33/AGER/ALOX15B/CLEC5A/CD14/FGA/CD274/ADAM8/IRS2/AIM2/KCNN4/FGG	13	geneontology_Biological_Process	0.0599078341013825
GO:0072378	GO:0072378	blood coagulation, fibrin clot formation	5/217	27/17913	1.61844128532957e-05	0.00279360948528832	0.00236614223001399	A2M/VWF/APOH/FGA/FGG	5	geneontology_Biological_Process	0.0230414746543779
GO:0050866	GO:0050866	negative regulation of cell activation	11/217	187/17913	1.80382236978964e-05	0.00284822610889438	0.00241240163035453	SFTPD/SCGB1A1/GAL/INHA/VSIG4/FGL1/PDCD1LG2/IL2RA/CD274/ANXA1/FGG	11	geneontology_Biological_Process	0.0506912442396313
GO:0010466	GO:0010466	negative regulation of peptidase activity	12/217	223/17913	1.83342523906944e-05	0.00284822610889438	0.00241240163035453	A2M/LAMP3/AQP1/ITIH5/COL4A3/BIRC5/LTF/CPAMD8/GPC3/PI3/CST6/AMBP	12	geneontology_Biological_Process	0.0552995391705069
GO:0031960	GO:0031960	response to corticosteroid	10/217	155/17913	1.96861474596535e-05	0.0029126123884354	0.00246693577188641	AQP1/SCGB1A1/ABCA3/FAM107A/CPS1/ALPL/FOSB/ANXA1/AKR1C3/AREG	10	geneontology_Biological_Process	0.0460829493087558
GO:0070664	GO:0070664	negative regulation of leukocyte proliferation	7/217	71/17913	2.39506068001753e-05	0.00338247887855202	0.00286490511963819	SFTPD/SCGB1A1/GAL/VSIG4/PDCD1LG2/IL2RA/CD274	7	geneontology_Biological_Process	0.032258064516129
GO:0070661	GO:0070661	leukocyte proliferation	13/217	270/17913	2.66444068139536e-05	0.00344708629186365	0.00291962655791138	MS4A1/IL33/SFTPD/AGER/SCGB1A1/GAL/CR2/VSIG4/PDCD1LG2/IL2RA/CD274/ANXA1/IRS2	13	geneontology_Biological_Process	0.0599078341013825
GO:0007162	GO:0007162	negative regulation of cell adhesion	13/217	271/17913	2.76918913081208e-05	0.00344708629186365	0.00291962655791138	SFTPD/SCGB1A1/FAM107A/DLC1/VSIG4/FGL1/PDCD1LG2/APOD/IL2RA/CD274/ANXA1/TNC/FGG	13	geneontology_Biological_Process	0.0599078341013825
GO:0032689	GO:0032689	negative regulation of interferon-gamma production	5/217	30/17913	2.77364523001581e-05	0.00344708629186365	0.00291962655791138	IL33/SCGB1A1/INHA/PDCD1LG2/CD274	5	geneontology_Biological_Process	0.0230414746543779
GO:0002695	GO:0002695	negative regulation of leukocyte activation	10/217	163/17913	3.03896241745513e-05	0.00363156008885888	0.00307587289216106	SFTPD/SCGB1A1/GAL/INHA/VSIG4/FGL1/PDCD1LG2/IL2RA/CD274/ANXA1	10	geneontology_Biological_Process	0.0460829493087558
GO:0002793	GO:0002793	positive regulation of peptide secretion	13/217	275/17913	3.22508942885251e-05	0.00371124179831287	0.00314336201642544	LRRK2/IL33/AGER/ALOX15B/CLEC5A/CD14/FGA/CD274/ADAM8/IRS2/AIM2/KCNN4/FGG	13	geneontology_Biological_Process	0.0599078341013825
GO:0034116	GO:0034116	positive regulation of heterotypic cell-cell adhesion	4/217	16/17913	3.40081960952772e-05	0.00377369518814379	0.00319625903151101	AGER/ALOX15/FGA/FGG	4	geneontology_Biological_Process	0.0184331797235023
GO:0050868	GO:0050868	negative regulation of T cell activation	8/217	104/17913	3.87454468603879e-05	0.00415110701362845	0.0035159207677303	SFTPD/SCGB1A1/VSIG4/FGL1/PDCD1LG2/IL2RA/CD274/ANXA1	8	geneontology_Biological_Process	0.0368663594470046
GO:0051047	GO:0051047	positive regulation of secretion	16/217	409/17913	4.07908367879442e-05	0.00422039107413575	0.00357460325083915	LRRK2/IL33/AQP1/AGER/GAL/INHA/ALOX15B/CLEC5A/CD14/FGA/CD274/ADAM8/IRS2/AIM2/KCNN4/FGG	16	geneontology_Biological_Process	0.0737327188940092
GO:0042130	GO:0042130	negative regulation of T cell proliferation	6/217	53/17913	4.21088262948852e-05	0.00422039107413575	0.00357460325083915	SFTPD/SCGB1A1/VSIG4/PDCD1LG2/IL2RA/CD274	6	geneontology_Biological_Process	0.0276497695852535
GO:0046651	GO:0046651	lymphocyte proliferation	12/217	244/17913	4.43933706248841e-05	0.00431031882910984	0.00365077061059902	MS4A1/SFTPD/AGER/SCGB1A1/GAL/CR2/VSIG4/PDCD1LG2/IL2RA/CD274/ANXA1/IRS2	12	geneontology_Biological_Process	0.0552995391705069
GO:0032943	GO:0032943	mononuclear cell proliferation	12/217	246/17913	4.8047437954207e-05	0.00452373908253701	0.00383153412712975	MS4A1/SFTPD/AGER/SCGB1A1/GAL/CR2/VSIG4/PDCD1LG2/IL2RA/CD274/ANXA1/IRS2	12	geneontology_Biological_Process	0.0552995391705069
GO:0051384	GO:0051384	response to glucocorticoid	9/217	139/17913	5.00129203468318e-05	0.00457029833875313	0.00387096906709225	AQP1/SCGB1A1/ABCA3/FAM107A/CPS1/ALPL/FOSB/ANXA1/AREG	9	geneontology_Biological_Process	0.0414746543778802
GO:0010951	GO:0010951	negative regulation of endopeptidase activity	11/217	210/17913	5.24373203923627e-05	0.00465493584168774	0.0039426556685987	A2M/LAMP3/AQP1/ITIH5/COL4A3/BIRC5/LTF/CPAMD8/PI3/CST6/AMBP	11	geneontology_Biological_Process	0.0506912442396313
GO:1903532	GO:1903532	positive regulation of secretion by cell	15/217	381/17913	6.62790422425093e-05	0.0057202495624299	0.0048449592282536	LRRK2/IL33/AGER/GAL/INHA/ALOX15B/CLEC5A/CD14/FGA/CD274/ADAM8/IRS2/AIM2/KCNN4/FGG	15	geneontology_Biological_Process	0.0691244239631336
GO:0098542	GO:0098542	defense response to other organism	17/217	481/17913	8.25107718344139e-05	0.00692867481323038	0.00586847594839359	SELP/IL33/SFTPD/CD207/DMBT1/LTF/PLAC8/FCN3/FLNA/FGA/IL2RA/CXCL9/BPIFA2/AIM2/CXCL10/PGC/BPIFA1	17	geneontology_Biological_Process	0.0783410138248848
GO:0007585	GO:0007585	respiratory gaseous exchange	6/217	62/17913	0.000102996782573179	0.00842134219618073	0.00713274117542793	SFTPC/SFTPD/SFTPA1/SFTPA2/ELN/TNNC1	6	geneontology_Biological_Process	0.0276497695852535
GO:1903038	GO:1903038	negative regulation of leukocyte cell-cell adhesion	8/217	121/17913	0.000113552202799155	0.00904632548966605	0.00766209195675813	SFTPD/SCGB1A1/VSIG4/FGL1/PDCD1LG2/IL2RA/CD274/ANXA1	8	geneontology_Biological_Process	0.0368663594470046
GO:0050663	GO:0050663	cytokine secretion	11/217	230/17913	0.000118322001024229	0.00919066142955696	0.00778434217264662	LRRK2/IL33/AGER/ALOX15B/CLEC5A/CD14/CHI3L1/CD274/ANXA1/GBP5/AIM2	11	geneontology_Biological_Process	0.0506912442396313
GO:0006884	GO:0006884	cell volume homeostasis	4/217	23/17913	0.000154808451785536	0.0115210012045476	0.00975810242114374	SCTR/AQP4/AQP1/KCNN4	4	geneontology_Biological_Process	0.0184331797235023
GO:0033273	GO:0033273	response to vitamin	7/217	95/17913	0.000155739314641454	0.0115210012045476	0.00975810242114374	STC2/ALPL/FOLR1/ITGA2/TNC/ASCL1/CXCL10	7	geneontology_Biological_Process	0.032258064516129
GO:0050670	GO:0050670	regulation of lymphocyte proliferation	10/217	199/17913	0.00016148238594544	0.0116141590130175	0.00983700558417963	SFTPD/AGER/SCGB1A1/GAL/VSIG4/PDCD1LG2/IL2RA/CD274/ANXA1/IRS2	10	geneontology_Biological_Process	0.0460829493087558
GO:0006956	GO:0006956	complement activation	8/217	128/17913	0.000167868188632352	0.0116141590130175	0.00983700558417963	C7/A2M/C4BPA/C1QB/CR2/VSIG4/C1QC/FCN3	8	geneontology_Biological_Process	0.0368663594470046
GO:0032944	GO:0032944	regulation of mononuclear cell proliferation	10/217	200/17913	0.000168212795489472	0.0116141590130175	0.00983700558417963	SFTPD/AGER/SCGB1A1/GAL/VSIG4/PDCD1LG2/IL2RA/CD274/ANXA1/IRS2	10	geneontology_Biological_Process	0.0460829493087558
GO:0051346	GO:0051346	negative regulation of hydrolase activity	15/217	420/17913	0.000193928215005572	0.0128307164030183	0.0108674100952165	LRRK2/A2M/LAMP3/AQP1/ITIH5/COL4A3/BIRC5/LTF/CPAMD8/GPC3/PPP1R1B/PI3/SH3RF2/CST6/AMBP	15	geneontology_Biological_Process	0.0691244239631336
GO:0030647	GO:0030647	aminoglycoside antibiotic metabolic process	3/217	10/17913	0.000197597270118243	0.0128307164030183	0.0108674100952165	AKR1C2/AKR1C3/AKR1C1	3	geneontology_Biological_Process	0.0138248847926267
GO:0048545	GO:0048545	response to steroid hormone	14/217	375/17913	0.000201646917614912	0.0128307164030183	0.0108674100952165	TCF21/AQP1/SCGB1A1/ABCA3/NR3C2/FAM107A/LMO3/CPS1/ALPL/FOSB/ANXA1/AKR1C3/SCGB2A1/AREG	14	geneontology_Biological_Process	0.0645161290322581
GO:0001101	GO:0001101	response to acid chemical	13/217	330/17913	0.000202351175972931	0.0128307164030183	0.0108674100952165	CTSH/CCNB1/AQP1/SCGB1A1/CPS1/FOLR1/AKR1C2/AKR1C3/ITGA2/AKR1C1/TNC/ASCL1/TESC	13	geneontology_Biological_Process	0.0599078341013825
GO:0050715	GO:0050715	positive regulation of cytokine secretion	8/217	132/17913	0.000207477551591318	0.0128926550558845	0.0109198711363852	LRRK2/IL33/AGER/ALOX15B/CLEC5A/CD14/CD274/AIM2	8	geneontology_Biological_Process	0.0368663594470046
GO:0022408	GO:0022408	negative regulation of cell-cell adhesion	9/217	169/17913	0.000222917667203776	0.0133193306154256	0.0112812584617295	SFTPD/SCGB1A1/VSIG4/FGL1/PDCD1LG2/IL2RA/CD274/ANXA1/FGG	9	geneontology_Biological_Process	0.0414746543778802
GO:0030324	GO:0030324	lung development	9/217	169/17913	0.000222917667203776	0.0133193306154256	0.0112812584617295	CTSH/TCF21/SFTPD/TBX4/GPC3/NKX2-1/CHI3L1/TNC/ASCL1	9	geneontology_Biological_Process	0.0414746543778802
GO:0031638	GO:0031638	zymogen activation	5/217	46/17913	0.000227951580814691	0.0133631238036084	0.0113183505866281	CTSH/CYFIP2/APOH/FGA/FGG	5	geneontology_Biological_Process	0.0230414746543779
GO:0010038	GO:0010038	response to metal ion	13/217	335/17913	0.000234212775209965	0.013475909121803	0.0114138779342088	LRRK2/CCNB1/AQP1/CPS1/TNNC1/ALOX15/FOSB/CD14/FGA/AKR1C3/TFF1/ASCL1/FGG	13	geneontology_Biological_Process	0.0599078341013825
GO:0002920	GO:0002920	regulation of humoral immune response	8/217	135/17913	0.000241966300779522	0.0136688963003995	0.0115773349655274	C7/A2M/C4BPA/C1QB/CR2/VSIG4/C1QC/PGC	8	geneontology_Biological_Process	0.0368663594470046
GO:0034114	GO:0034114	regulation of heterotypic cell-cell adhesion	4/217	26/17913	0.000254028279935089	0.0139437515720708	0.0118101329528152	AGER/ALOX15/FGA/FGG	4	geneontology_Biological_Process	0.0184331797235023
GO:0030323	GO:0030323	respiratory tube development	9/217	173/17913	0.000265307559588182	0.0139437515720708	0.0118101329528152	CTSH/TCF21/SFTPD/TBX4/GPC3/NKX2-1/CHI3L1/TNC/ASCL1	9	geneontology_Biological_Process	0.0414746543778802
GO:0070613	GO:0070613	regulation of protein processing	9/217	173/17913	0.000265307559588182	0.0139437515720708	0.0118101329528152	C7/LRRK2/A2M/C4BPA/C1QB/CR2/VSIG4/C1QC/ADAM8	9	geneontology_Biological_Process	0.0414746543778802
GO:0035404	GO:0035404	histone-serine phosphorylation	3/217	11/17913	0.000269271031324188	0.0139437515720708	0.0118101329528152	CCNB1/AURKB/AURKA	3	geneontology_Biological_Process	0.0138248847926267
GO:0048875	GO:0048875	chemical homeostasis within a tissue	3/217	11/17913	0.000269271031324188	0.0139437515720708	0.0118101329528152	CTSH/SFTPD/NAPSA	3	geneontology_Biological_Process	0.0138248847926267
GO:1903317	GO:1903317	regulation of protein maturation	9/217	175/17913	0.000288885932844616	0.0145439290039637	0.01231847356899	C7/LRRK2/A2M/C4BPA/C1QB/CR2/VSIG4/C1QC/ADAM8	9	geneontology_Biological_Process	0.0414746543778802
GO:0070663	GO:0070663	regulation of leukocyte proliferation	10/217	214/17913	0.000290223237285404	0.0145439290039637	0.01231847356899	SFTPD/AGER/SCGB1A1/GAL/VSIG4/PDCD1LG2/IL2RA/CD274/ANXA1/IRS2	10	geneontology_Biological_Process	0.0460829493087558
GO:0002694	GO:0002694	regulation of leukocyte activation	16/217	492/17913	0.000341122749473663	0.0165725889794221	0.0140367158872343	LRRK2/IL33/SFTPD/AGER/SCGB1A1/GAL/INHA/VSIG4/FGL1/PDCD1LG2/IL2RA/CD274/ANXA1/ADAM8/IRS2/SLC7A2	16	geneontology_Biological_Process	0.0737327188940092
GO:0085029	GO:0085029	extracellular matrix assembly	4/217	28/17913	0.000341372930377539	0.0165725889794221	0.0140367158872343	MFAP4/TNXB/FBLN5/MYH11	4	geneontology_Biological_Process	0.0184331797235023
GO:0050777	GO:0050777	negative regulation of immune response	8/217	143/17913	0.000357464054811774	0.0170867818200028	0.014472228939748	A2M/IL33/C4BPA/VSIG4/ALOX15/IL2RA/ANXA1/AMBP	8	geneontology_Biological_Process	0.0368663594470046
GO:0051222	GO:0051222	positive regulation of protein transport	14/217	403/17913	0.000417869379318702	0.0196715175991395	0.0166614585055304	LRRK2/IL33/AGER/ALOX15B/CLEC5A/FLNA/CD14/FGA/CD274/ADAM8/IRS2/AIM2/KCNN4/FGG	14	geneontology_Biological_Process	0.0645161290322581
GO:0002921	GO:0002921	negative regulation of humoral immune response	3/217	13/17913	0.000458448341422599	0.0209470440705884	0.0177418088785835	A2M/C4BPA/VSIG4	3	geneontology_Biological_Process	0.0138248847926267
GO:0042574	GO:0042574	retinal metabolic process	3/217	13/17913	0.000458448341422599	0.0209470440705884	0.0177418088785835	SDR16C5/AKR1C3/AKR1C1	3	geneontology_Biological_Process	0.0138248847926267
GO:0042129	GO:0042129	regulation of T cell proliferation	8/217	149/17913	0.000470735129098428	0.0211967253059249	0.0179532848626403	SFTPD/AGER/SCGB1A1/VSIG4/PDCD1LG2/IL2RA/CD274/ANXA1	8	geneontology_Biological_Process	0.0368663594470046
GO:0051607	GO:0051607	defense response to virus	10/217	231/17913	0.000530327628038551	0.0232225252305159	0.0196691047638743	IL33/CD207/DMBT1/FCN3/FLNA/IL2RA/CXCL9/AIM2/CXCL10/BPIFA1	10	geneontology_Biological_Process	0.0460829493087558
GO:0030449	GO:0030449	regulation of complement activation	7/217	116/17913	0.00053067244652933	0.0232225252305159	0.0196691047638743	C7/A2M/C4BPA/C1QB/CR2/VSIG4/C1QC	7	geneontology_Biological_Process	0.032258064516129
GO:2000257	GO:2000257	regulation of protein activation cascade	7/217	117/17913	0.000558735039758184	0.024107200744896	0.020418410672756	C7/A2M/C4BPA/C1QB/CR2/VSIG4/C1QC	7	geneontology_Biological_Process	0.032258064516129
GO:0071398	GO:0071398	cellular response to fatty acid	5/217	56/17913	0.000575921942108697	0.024107200744896	0.020418410672756	CCNB1/CPS1/AKR1C2/AKR1C3/TNC	5	geneontology_Biological_Process	0.0230414746543779
GO:0035358	GO:0035358	regulation of peroxisome proliferator activated receptor signaling pathway	3/217	14/17913	0.000578280376274785	0.024107200744896	0.020418410672756	LMO3/ALOX15B/ALOX15	3	geneontology_Biological_Process	0.0138248847926267
GO:0031589	GO:0031589	cell-substrate adhesion	12/217	322/17913	0.000581924704173545	0.024107200744896	0.020418410672756	ABI3BP/NDNF/FAM107A/DLC1/FBLN5/VWF/ALOX15/FLNA/APOD/FGA/ITGA2/FGG	12	geneontology_Biological_Process	0.0552995391705069
GO:0060541	GO:0060541	respiratory system development	9/217	193/17913	0.000590079496285045	0.0241233815126005	0.0204321155223354	CTSH/TCF21/SFTPD/TBX4/GPC3/NKX2-1/CHI3L1/TNC/ASCL1	9	geneontology_Biological_Process	0.0414746543778802
GO:0007159	GO:0007159	leukocyte cell-cell adhesion	12/217	328/17913	0.000684417769009757	0.0276167014066664	0.0233909011965057	SELP/SFTPD/AGER/SCGB1A1/VSIG4/FGL1/PDCD1LG2/IL2RA/CD274/ANXA1/ADAM8/NT5E	12	geneontology_Biological_Process	0.0552995391705069
GO:0044406	GO:0044406	adhesion of symbiont to host	3/217	15/17913	0.000716412923293486	0.0285371147778572	0.0241704764943821	SFTPD/LTF/BPIFA1	3	geneontology_Biological_Process	0.0138248847926267
GO:0071229	GO:0071229	cellular response to acid chemical	9/217	199/17913	0.000734667360286684	0.0288938163089965	0.0244725969449262	CCNB1/AQP1/CPS1/FOLR1/AKR1C2/AKR1C3/AKR1C1/TNC/TESC	9	geneontology_Biological_Process	0.0414746543778802
GO:0002673	GO:0002673	regulation of acute inflammatory response	8/217	160/17913	0.000753281305604176	0.029177547337282	0.024712912555081	C7/A2M/C4BPA/C1QB/CR2/VSIG4/C1QC/ADAM8	8	geneontology_Biological_Process	0.0368663594470046
GO:0045862	GO:0045862	positive regulation of proteolysis	12/217	333/17913	0.000781013694873371	0.029177547337282	0.024712912555081	LRRK2/CTSH/IL33/CYFIP2/AURKA/AGER/COL4A3/FAS/DLC1/ADAM8/SH3RF2/AIM2	12	geneontology_Biological_Process	0.0552995391705069
GO:0051225	GO:0051225	spindle assembly	6/217	90/17913	0.000787882130529094	0.029177547337282	0.024712912555081	AURKB/AURKA/NEK2/CDC20/MYBL2/FLNA	6	geneontology_Biological_Process	0.0276497695852535
GO:0010810	GO:0010810	regulation of cell-substrate adhesion	9/217	201/17913	0.000788836168758187	0.029177547337282	0.024712912555081	ABI3BP/NDNF/FAM107A/DLC1/ALOX15/FLNA/APOD/FGA/FGG	9	geneontology_Biological_Process	0.0414746543778802
GO:0050707	GO:0050707	regulation of cytokine secretion	9/217	201/17913	0.000788836168758187	0.029177547337282	0.024712912555081	LRRK2/IL33/AGER/ALOX15B/CLEC5A/CD14/CD274/ANXA1/AIM2	9	geneontology_Biological_Process	0.0414746543778802
GO:0001523	GO:0001523	retinoid metabolic process	6/217	91/17913	0.000835109568763608	0.0305257109429239	0.025854785410638	GPC4/GPIHBP1/GPC3/SDR16C5/AKR1C3/AKR1C1	6	geneontology_Biological_Process	0.0276497695852535
GO:0001818	GO:0001818	negative regulation of cytokine production	11/217	290/17913	0.000849206456078881	0.0306800518492684	0.0259855096719364	IL33/SFTPD/AGER/SCGB1A1/INHA/VSIG4/LTF/PDCD1LG2/APOD/CD274/ANXA1	11	geneontology_Biological_Process	0.0506912442396313
GO:0042448	GO:0042448	progesterone metabolic process	3/217	16/17913	0.000873890937262305	0.0312089556560228	0.0264334826758108	AKR1C2/AKR1C3/AKR1C1	3	geneontology_Biological_Process	0.0138248847926267
GO:0045785	GO:0045785	positive regulation of cell adhesion	13/217	388/17913	0.000932832405099272	0.0323915615181569	0.0274351307896913	ABI3BP/NDNF/AGER/ALOX15/PDCD1LG2/FLNA/FGA/IL2RA/CD274/ANXA1/ADAM8/ITGA2/FGG	13	geneontology_Biological_Process	0.0599078341013825
GO:0032649	GO:0032649	regulation of interferon-gamma production	6/217	93/17913	0.000936092455219113	0.0323915615181569	0.0274351307896913	IL33/SCGB1A1/INHA/PDCD1LG2/CD14/CD274	6	geneontology_Biological_Process	0.0276497695852535
GO:0002576	GO:0002576	platelet degranulation	7/217	128/17913	0.000952391524344517	0.0323915615181569	0.0274351307896913	SELP/A2M/VWF/APOH/FLNA/FGA/FGG	7	geneontology_Biological_Process	0.032258064516129
GO:0022407	GO:0022407	regulation of cell-cell adhesion	13/217	389/17913	0.000954954003294399	0.0323915615181569	0.0274351307896913	SFTPD/AGER/SCGB1A1/VSIG4/FGL1/ALOX15/PDCD1LG2/FGA/IL2RA/CD274/ANXA1/ADAM8/FGG	13	geneontology_Biological_Process	0.0599078341013825
GO:0002460	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	11/217	295/17913	0.000975804068737636	0.0323915615181569	0.0274351307896913	C7/CTSH/IL33/AGER/EXO1/C4BPA/C1QB/CR2/C1QC/CD274/ANXA1	11	geneontology_Biological_Process	0.0506912442396313
GO:0045088	GO:0045088	regulation of innate immune response	14/217	440/17913	0.000984939168749314	0.0323915615181569	0.0274351307896913	A2M/SFTPD/SFTPA1/SFTPA2/DMBT1/VSIG4/LTF/CD14/FGA/ADAM8/GBP5/AIM2/MUC13/FGG	14	geneontology_Biological_Process	0.0645161290322581
GO:1904951	GO:1904951	positive regulation of establishment of protein localization	14/217	440/17913	0.000984939168749314	0.0323915615181569	0.0274351307896913	LRRK2/IL33/AGER/ALOX15B/CLEC5A/FLNA/CD14/FGA/CD274/ADAM8/IRS2/AIM2/KCNN4/FGG	14	geneontology_Biological_Process	0.0645161290322581
