Gene	Chr	Start	End	C1_logFC    	C2_logFC    	C3_logFC    
CDCA3	chr12	6844793	6852066	-0.953143547	0.682026608	0.646772146
CDHR4	chr3	49790732	49799835	0.905874053	-0.601269848	-0.647705661
CENPA	chr2	26764289	26801067	-1.169368835	1.045616639	0.646592764
CFAP221	chr2	119544432	119662251	1.364268328	-0.997331634	-0.910891934
CHI3L1	chr1	203178931	203186749	0.941840412	0.738715327	-1.632657435
CHRDL1	chrX	110673856	110795819	1.853039591	-0.950982984	-1.521137253
CLDN18	chr3	137998735	138033655	2.354237545	-2.133734857	-1.281611392
CLEC5A	chr7	141927357	141947007	0.786015535	0.787635596	-1.482904955
CLIC5	chr6	45898451	46080395	1.55317877	-0.931504024	-1.180451189
COL25A1	chr4	108810721	109302657	-0.823240567	-0.647777931	1.42853338
COL4A3	chr2	227164565	227314792	1.257495363	-0.91825102	-0.840323268
COL4A4	chr2	227002711	227164113	0.989084382	-0.768931855	-0.628125636
COL6A6	chr3	130560334	130678155	1.088357114	-0.602912574	-0.862215216
CPAMD8	chr19	16892947	17026815	1.021873916	-0.73693286	-0.689383168
CPS1	chr2	210477682	210679107	-2.096061048	-1.10257605	3.252668598
CR2	chr1	207454230	207489895	1.098550802	-0.779243006	-0.750244824
CST6	chr11	66011841	66013505	0.916476905	1.030748396	-1.80807619
CTSE	chr1	206009264	206023909	2.220916299	-1.269052727	-1.732200445
CTSH	chr15	78921058	78949574	1.445013343	-0.691923812	-1.22112029
CXCL10	chr4	76021117	76023497	0.626848767	1.218827542	-1.598064248
CXCL11	chr4	76033682	76041415	0.618856271	0.951991357	-1.400945796
CXCL9	chr4	76001275	76007488	1.008559289	0.730267893	-1.705566866
CYFIP2	chr5	157266079	157395595	0.947282537	-0.689414432	-0.634649354
CYP4B1	chr1	46757838	46819413	2.251683666	-2.052630502	-1.21745234
CYP4X1	chr1	47023568	47050751	1.177401179	-0.763104413	-0.854783665
DES	chr2	219418377	219426739	1.413555056	-0.679760387	-1.192496619
DLC1	chr8	13083361	13515658	1.042432256	-0.82010816	-0.655180448
DMBT1	chr10	122560665	122643736	2.372186053	-1.818999324	-1.524185033
DUSP4	chr8	29333064	29350668	-1.115353404	-0.644794191	1.771664107
ELN	chr7	74027789	74069907	1.287722919	-0.743260817	-0.999122297
ENO3	chr17	4948092	4957131	-0.807592054	-0.671163047	1.426486758
ESYT3	chr3	138434586	138481686	1.053651119	-0.850571653	-0.647013552
EXO1	chr1	241847967	241895148	-1.005940521	0.853324919	0.58869104
FAM107A	chr3	58564117	58627610	1.058994206	-0.771571393	-0.708891081
FAM189A2	chr9	69324572	69392455	1.154150029	-0.815418376	-0.790510901
FAM216B	chr13	42781550	42791549	1.384546863	-0.938364971	-0.976330567
FAM92B	chr16	85098358	85112508	1.023062517	-0.657203447	-0.746863611
FAS	chr10	88990531	89015785	0.883325849	0.614774436	-1.476332095
FBLN5	chr14	91869412	91947987	0.870720751	-0.606865603	-0.60222461
FCER1A	chr1	159289714	159308224	1.837388647	-0.789894719	-1.615937865
FCGR3A	chr1	161541759	161550737	0.719829972	0.843673024	-1.444097059
FCN3	chr1	27369112	27374824	0.930851917	-0.679291255	-0.622350953
FDCSP	chr4	70226071	70235252	1.853474277	-1.138487886	-1.389774041
FGA	chr4	154583126	154590766	-1.876231787	-1.845301006	3.515243858
FGG	chr4	154604134	154612967	-1.067105332	-2.091571019	2.732197565
FGL1	chr8	17864380	17910365	-1.849363175	-1.217175021	3.041712693
FLNA	chrX	154348524	154374638	0.683834145	0.6026927	-1.232068363
FOLR1	chr11	72189558	72196301	1.350937567	-1.372150618	-0.631517498
FOSB	chr19	45467995	45475179	1.221567637	-0.811754596	-0.872764241
FOXM1	chr12	2857681	2877155	-1.108143432	0.958613451	0.635425962
FPR1	chr19	51745172	51804110	0.713304922	0.623268599	-1.281369518
FXYD4	chr10	43371642	43376335	-1.079003204	-0.726797151	1.786378913
GAL	chr11	68683779	68691175	-1.303055623	0.653575992	1.080320634
GBP5	chr1	89258950	89272804	0.617969363	0.595001031	-1.148817292
GFRA1	chr10	116056925	116273467	0.935932064	-0.70519583	-0.610135507
GGTLC1	chr20	23985050	23988779	2.217634997	-1.475999269	-1.582771749
GPC3	chrX	133535745	133985895	1.025419727	-0.760118725	-0.677266528
GPC4	chrX	133300103	133415490	1.103663859	-0.610607482	-0.874893244
GPIHBP1	chr8	143213193	143217170	0.985776952	-0.77478147	-0.620102616
GPX2	chr14	64939152	64942905	-1.418014186	-1.341211582	2.619167273
HABP2	chr10	113550837	113589602	1.211314288	-1.187882347	-0.596106311
HAL	chr12	95972662	95996365	-0.852211372	-0.61657277	1.440824721
HGD	chr3	120628173	120682571	-0.933714069	-0.888881332	1.728668985
HJURP	chr2	233833416	233854566	-1.090447038	0.998455069	0.586490121
HLF	chr17	55265012	55325065	1.650199299	-1.014435837	-1.236785435
HOPX	chr4	56647988	56681899	1.25024675	-0.948408362	-0.81054618
HS3ST2	chr16	22814177	22916338	0.953278202	-0.66753336	-0.657124754
HSD17B6	chr12	56752161	56787790	1.402810593	-0.779332583	-1.10976679
IL2RA	chr10	6010689	6062325	0.605256973	0.630851682	-1.15900801
IL33	chr9	6215786	6257983	1.373319895	-0.966540646	-0.943245476
IL4I1	chr19	49889654	49929539	0.654064104	0.733035306	-1.288558329
INHA	chr2	219569162	219575713	-1.593923811	-0.757067269	2.416220012
INMT	chr7	30697985	30757602	1.64299295	-1.385369337	-0.967381806
IRS2	chr13	109752698	109786568	-0.598576163	-0.599295803	1.128918345
IRX2	chr5	2745845	2751662	1.808749234	-1.465873406	-1.106657889
ITGA2	chr5	52989326	53094779	0.714651039	0.683500868	-1.325323285
ITGA9	chr3	37452115	37823514	0.988169929	-0.698304466	-0.676718932
ITIH5	chr10	7559270	7666998	0.987289788	-0.730711542	-0.652886034
KCNJ15	chr21	38157034	38307357	1.243300907	-0.65790798	-1.006653604
KCNN4	chr19	43766533	43781257	0.619196509	0.865245838	-1.340337584
KLK12	chr19	51029092	51035230	-0.923154935	-1.057260931	1.834615458
LAMP3	chr3	183122213	183163839	1.52856615	-1.099124422	-1.033471461
LMO3	chr12	16548373	16610594	1.382824917	-0.983083077	-0.942844137
LRRC31	chr3	169839179	169869930	1.157282621	-0.790597467	-0.811670283
LRRC36	chr16	67326798	67385203	0.988815087	-0.801894203	-0.60462412
LRRK2	chr12	40196744	40369285	1.899211114	-1.167134593	-1.423679496
LTF	chr3	46435645	46485234	1.654323531	-1.103816401	-1.178795987
MACROD2	chr20	13995369	16053197	1.197416305	-0.98736996	-0.720706617
MAMDC2	chr9	70043581	70226970	1.387908685	-0.751668778	-1.111611842
MET	chr7	116672390	116798386	0.615815077	1.071301998	-1.481265797
METTL7A	chr12	50923472	50932517	1.060324818	-0.724966359	-0.743242144
MFAP4	chr17	19383442	19387240	1.712528015	-0.692531088	-1.536851464
MGP	chr12	14881181	14885926	1.281957316	-0.763278875	-0.978229098
MMP13	chr11	102942995	102955734	0.622007432	0.831582814	-1.319983576
MORN5	chr9	122159908	122200088	0.988015566	-0.649444097	-0.710901233
MS4A1	chr11	60455752	60470760	1.710197939	-0.938585691	-1.361041273
MS4A15	chr11	60756953	60776732	1.543856995	-1.011944808	-1.112858348
MS4A8	chr11	60699574	60715811	1.256784297	-1.135225485	-0.686879277
MSMB	chr10	46033307	46046269	-1.0113588	-1.807369783	2.466428427
MUC13	chr3	124905442	124953819	-1.007085232	-0.80728424	1.757992319
MYBL2	chr20	43667019	43716496	-1.324793799	1.364690596	0.605866693
MYEOV	chr11	69294138	69367726	-0.92351004	0.697917302	0.600573893
MYH11	chr16	15703135	15857033	1.069454463	-0.608394784	-0.836019619
NAPSA	chr19	50358477	50365830	2.257426108	-1.529751901	-1.591992705
NDNF	chr4	121035613	121073021	1.704941823	-1.050939698	-1.275807995
NEIL3	chr4	177309836	177362943	-1.039984842	0.715200575	0.726072165
NEK2	chr1	211658657	211675630	-1.162700789	0.942111069	0.711510316
NKX2-1	chr14	36516392	36521149	1.159106048	-0.892594017	-0.74208852
NR3C2	chr4	148078762	148444698	0.953668347	-0.601164172	-0.704264969
NRGN	chr11	124739846	124747210	1.378810434	-0.822523036	-1.051025617
NT5E	chr6	85449584	85495791	0.634425879	0.82283319	-1.328506303
NTS	chr12	85874295	85882992	-1.07224747	-0.746395569	1.792178811
NUF2	chr1	163266576	163355764	-1.138100926	0.859315272	0.740669708
OIP5	chr15	41309268	41332621	-0.934741568	0.632502429	0.659855645
PBK	chr8	27809620	27838095	-1.327046338	0.76855943	1.027802948
PCP4L1	chr1	161258727	161285450	1.214156785	-0.749170074	-0.908023112
PDCD1LG2	chr9	5510570	5571254	0.666355292	0.725370753	-1.297693814
PEBP4	chr8	22713251	23000000	1.922470225	-1.712044329	-1.067919138
PFN2	chr3	149964904	150050788	-1.252210688	0.765487349	0.941520206
PGC	chr6	41736711	41754109	1.365435549	-3.566679534	0.894815961
PI3	chr20	45174876	45176544	-1.045969728	0.589524548	0.821536443
PIGR	chr1	206928518	206946466	3.050463389	-2.150089463	-2.092933076
PLA2G12B	chr10	72935170	72954778	0.952638869	-0.720589789	-0.619053239
PLAC8	chr4	83090048	83137075	0.941288388	-0.594067712	-0.694625016
POPDC3	chr6	105158280	105179995	-1.024072041	0.830816554	0.625950214
PPP1R1B	chr17	39626740	39636626	1.443681423	-1.309371726	-0.785279446
PRG4	chr1	186296279	186314562	1.413246741	-1.059916483	-0.924758844
PTGDS	chr9	136977505	136985435	1.779496014	-0.656732982	-1.641174325
PTPN13	chr4	86594315	86815171	1.478251526	-0.693834633	-1.259058419
RASGRF1	chr15	78959947	79090773	1.5257771	-0.727598109	-1.291479115
RCOR2	chr11	63911221	63916844	-1.089373178	0.611728094	0.857215858
RNASE1	chr14	20801228	20803278	1.345996613	-0.60996615	-1.161741717
RSPH4A	chr6	116616479	116632985	1.057368876	-0.629734935	-0.806727376
S100P	chr4	6693069	6697170	-2.024822929	-1.073873478	3.148289628
SCGB1A1	chr11	62405103	62423195	3.389821661	-2.533175942	-2.224564259
SCGB2A1	chr11	62208668	62213939	0.883048049	-0.651458776	-0.58542994
SCGB3A1	chr5	180590103	180591540	3.119818737	-2.532616334	-1.905858854
SCGB3A2	chr5	147870682	147882191	2.494470941	-3.18454872	-0.708280207
SCN4B	chr11	118133377	118152888	0.927798875	-0.601571847	-0.673404785
SCN7A	chr2	166403573	166494247	1.370387776	-0.765858611	-1.080924944
SCTR	chr2	119439843	119525301	2.117351753	-1.400758562	-1.517172162
SDR16C5	chr8	56300010	56320776	0.920965745	-0.626899717	-0.647515419
SEC14L6	chr22	30522799	30546682	1.028095824	-0.880295663	-0.595905753
SELP	chr1	169588849	169630193	1.079187624	-0.792168222	-0.718270105
SERPINB5	chr18	63476761	63505085	-1.145731936	0.741693662	0.832414558
SERPIND1	chr22	20773879	20787720	1.627854395	-0.783620755	-1.372715522
SFTA3	chr14	36473288	36513829	1.496621083	-1.280783227	-0.86795242
SFTPA1	chr10	79610939	79615455	3.274466832	-2.496432207	-2.114076646
SFTPA2	chr10	79555852	79560397	3.161045082	-2.557736767	-1.936913769
SFTPC	chr8	22156913	22164479	3.945690982	-3.215825901	-2.401385275
SFTPD	chr10	79937740	79982614	2.416671933	-2.066311766	-1.402818922
SH3RF2	chr5	145936579	146081791	0.617701916	0.649604328	-1.186905094
SLC34A2	chr4	25655301	25678748	2.113902935	-0.84380603	-1.904815028
SLC7A2	chr8	17497088	17570573	-0.831401972	-1.520401869	2.051917301
SMOC1	chr14	69854131	70032366	-0.987158253	-0.676411716	1.642395955
SNTN	chr3	63652668	63679020	0.993366874	-0.684175477	-0.69279814
SNX30	chr9	112750838	112881671	1.058831825	-0.686797583	-0.768322738
SPAG6	chr10	22345445	22454224	0.998228857	-0.606038079	-0.753500212
SPATA18	chr4	52051331	52097292	1.12387002	-0.987202544	-0.633904769
SPIB	chr19	50418938	50431313	1.23050167	-0.586506012	-1.041745822
ST3GAL5	chr2	85839144	85889014	1.135601398	-0.673309279	-0.868538397
STC2	chr5	173314713	173329503	-1.003784946	0.757045977	0.65385892
SUSD2	chr22	24181259	24189110	2.128374355	-1.250290661	-1.636026942
TBX4	chr17	61452404	61485110	0.945572592	-0.731822374	-0.602801902
TCF21	chr6	133889138	133895553	1.120060952	-0.69906193	-0.832059657
TEKT1	chr17	6789133	6831761	1.0382706	-0.683087675	-0.746632028
TESC	chr12	117038923	117099479	-0.638890559	-1.582441318	1.868034426
TFF1	chr21	42362282	42366594	-1.618284305	-1.448760631	2.931495538
TMEM100	chr17	55719627	55732121	1.219325124	-0.613087787	-1.009841352
TMEM190	chr19	55376836	55378244	1.133372826	-0.880106886	-0.720458605
TMPRSS2	chr21	41464551	41531116	1.399001899	-1.105698405	-0.875724204
TNC	chr9	115019578	115118257	0.76450006	1.16801049	-1.725004489
TNNC1	chr3	52451102	52454070	1.005899264	-0.660421962	-0.724315809
TNXB	chr6	32041154	32115334	1.242492919	-0.798310971	-0.90694972
TPPP3	chr16	67389809	67393535	1.252091463	-1.057928139	-0.735698299
TROAP	chr12	49323236	49331731	-1.150319787	0.790289975	0.803657626
UBE2T	chr1	202331657	202341980	-1.076919551	0.754999995	0.741730971
VSIG2	chr11	124747472	124752238	1.552407144	-1.76474162	-0.593502181
VSIG4	chrX	66021738	66040125	1.048169403	0.677087746	-1.714976556
VWF	chr12	5948874	6124770	0.874304232	-0.631066763	-0.589438407
WDR38	chr9	124853417	124857890	1.076874136	-0.700127973	-0.780270178
ZNF385B	chr2	179441982	179861505	1.218592102	-0.958231004	-0.766227086
ZNF750	chr17	82829435	82840578	1.079870645	-0.929032226	-0.622817409
