Tag	p.value	HR	Low 95%CI	High 95%CI
PTPN13	0.728014018270928	0.974464191569765	0.842271942559905	1.12740364800194
SNX30	0.000568558940859191	0.772982445164094	0.667679235686362	0.894893578527482
SCN4B	0.0031715858019224	0.795421364538717	0.683231700384652	0.926033067271958
GGTLC1	0.000160243421017414	0.736644535933588	0.628538916312578	0.863343793419068
AQP4	0.00462819570318901	0.812179713659789	0.703267778828917	0.937958352619147
SFTPD	0.00128559972630699	0.789398088819243	0.683542880626658	0.911646306754279
SFTPA1	0.10264479388853	0.890440889418692	0.774620562504821	1.02357853112609
CD207	0.0258420057701064	0.841011441325823	0.722216737092724	0.979346237928753
SCGB3A1	0.00316181698046741	0.803630016067957	0.695038931586587	0.929187090644188
NDNF	0.00387212640732123	0.815098883475544	0.709513589489953	0.936396708512215
CYFIP2	0.0700662099139551	0.881167195013892	0.76844580182826	1.01042340750816
CDCA3	8.35061150742613e-05	1.31852588651233	1.14884320050353	1.51327049038646
SFTPA2	0.0923089200290641	0.885968595462511	0.769477555897461	1.02009518813101
PRG4	0.036886619126691	0.845254022188772	0.721804093392583	0.98981755377454
CACHD1	0.330943148388951	0.929437614623997	0.801960575146882	1.07717798885528
CYP4B1	5.54454535406174e-05	0.739533606132024	0.638628945900593	0.856381405993718
UBE2T	0.000771377313474606	1.28876105108999	1.1116322141367	1.49411381361994
CCNB1	2.14549009662548e-06	1.43924281349657	1.2380427827731	1.67314078723656
AQP1	0.322467823389532	0.928532704368956	0.801686627689673	1.07544887653592
C1orf116	0.0562112273263053	0.872019690063787	0.757665383425646	1.0036334726299
OIP5	6.4980438971238e-06	1.35240484098889	1.18610684123893	1.54201863638162
CENPA	0.000270641006484432	1.29452893040145	1.12661717996905	1.48746635631134
DMBT1	0.0189786165680346	0.840879899382882	0.727531331916187	0.971888046833456
AURKB	0.00046842282650358	1.28120863735731	1.11512282795859	1.47203118013825
AURKA	0.000103215398065893	1.3426350401526	1.15709489472579	1.55792654454049
NUF2	0.00126077608243716	1.2575961443202	1.09406085917753	1.44557594665983
AGER	0.00874024672672162	0.819165872680854	0.705696446221436	0.950880127791414
ITIH5	0.116582763336372	0.884128552595603	0.758080692541545	1.0311346868552
FAM189A2	0.000208704928978199	0.747572585224331	0.641023197055265	0.871832365421884
NEK2	1.42214032559013e-05	1.37579297856756	1.19120869525709	1.58897960316458
CA3	0.0149153066706904	0.827626025755678	0.710693312035027	0.963798064381361
ESYT3	3.59752304160687e-05	0.711233468948216	0.605082416140825	0.836006854369375
FDCSP	0.00511030703059223	0.81156475061369	0.701213871243657	0.939281682021659
TMPRSS2	0.00028218383366583	0.773304064609704	0.673109093322226	0.888413456710828
TROAP	0.00156130440425819	1.24554545182244	1.087102378994	1.42708129660355
SCGB1A1	0.0427448560752289	0.859924026128106	0.743126039710135	0.995079288300557
DES	0.0840128786440601	0.879406488899394	0.760120426460281	1.01741217022639
COL4A3	0.00118605791882971	0.77334509559873	0.662053983541092	0.903344216264334
ST3GAL5	0.000776644378200654	0.778476276376999	0.672705513049477	0.900877577373483
LRRC36	0.00970032538457381	0.793895591489012	0.666503593706861	0.945636626924013
CLDN18	0.0213637420842927	0.835841710234508	0.717471190115905	0.973741349049691
EXO1	1.91209047880845e-06	1.39884274533281	1.21836950665402	1.60604891659185
CDC20	9.47424361555406e-05	1.34245170350532	1.15793213045426	1.55637496261316
RNASE1	0.00333088958690345	0.809476733682616	0.702931611021975	0.932171170138189
PFN2	0.0535217877208738	1.16780764651663	0.99765038644724	1.36698658947979
GPC4	0.00768542539894195	0.826824827251957	0.718933873303679	0.95090705883524
FAM216B	0.0282837868113115	0.836371528810843	0.712943268427059	0.981168299335664
IRX2	0.00151442127974936	0.786902200224841	0.67859205872756	0.912499733462541
ITGA9	0.00979345101658278	0.827749036998676	0.717136200842269	0.955423066702686
NAPSA	0.000126724262527914	0.773695446453334	0.678559029387894	0.882170331448695
C16orf89	0.000259160492629235	0.76813433708045	0.66676182629694	0.884919226823364
BUB1B	0.000118866367957907	1.30890520265699	1.14121758754379	1.50123241022765
BIRC5	7.60842929085991e-05	1.35582832144183	1.16603582191638	1.57651283320144
ABCA3	0.0011107720074594	0.784010549973711	0.677334492893134	0.907487436295467
BMP3	0.0296174791309836	0.844939245586789	0.725923127796765	0.983468223280865
NEIL3	6.75772854343722e-05	1.30904197212581	1.14663906901721	1.49444662325675
HSD17B6	0.00399587666686322	0.80261944652821	0.691019410380762	0.932242953335114
RCOR2	0.46858333648215	1.05432975357844	0.91378407333751	1.21649223456119
HJURP	4.32610958625372e-06	1.4053999815523	1.21550811345666	1.62495756818133
NR3C2	0.00284421661905207	0.797033165992441	0.686697823541309	0.925096666851048
MACROD2	0.0347694758883143	0.846956215328573	0.725912555029718	0.988183529425709
FAM107A	0.0539627730017293	0.864301451579023	0.745163508185893	1.00248736149228
PEBP4	0.010879248241632	0.826059965164714	0.713081618012937	0.956938236536549
TMEM100	0.0681784258259324	0.866008769846516	0.741960819663347	1.01079621669425
ELN	0.0895457062930224	0.885159141917746	0.768886155858266	1.01901523463636
FOXM1	6.59742727815276e-06	1.38358727926053	1.20137081056047	1.5934412110766
FAS	0.563300207326432	0.959259092361752	0.833059539263286	1.10457651933552
TBX4	0.0184460101318043	0.843943052509946	0.732869912269086	0.971850343363933
NRGN	0.237408349363484	0.912807294759457	0.784607203080274	1.06195450933278
SPATA18	0.00986858476965431	0.816995408591309	0.700721289993074	0.952563461666588
DLC1	0.0195385860306426	0.84897714360838	0.73997105341055	0.974041061535351
COL4A4	0.00917635911852013	0.822416332258071	0.709934211859932	0.95272014260705
CTSE	0.489840022908524	0.949613036125335	0.820010446315737	1.09969930557685
MYBL2	0.000782044518956177	1.28087141931199	1.10860750963358	1.47990301216035
SNTN	0.0208543789143016	0.829830455420204	0.708390129492977	0.972089468885986
C5orf38	0.00579705639682935	0.813860700473351	0.703083406355692	0.942091981957371
GAL	0.00335040965590303	1.20843042110779	1.06485113317864	1.37136923383803
GPIHBP1	0.0360517845544838	0.84822255980711	0.727227807184539	0.989348184788474
SEC14L6	0.00904108503211224	0.816604693708061	0.701374999553964	0.950765605004616
SERPIND1	0.00337236160427075	0.782431510430236	0.664061003846705	0.921901850835775
RSPH4A	0.0786818071032491	0.870315524985764	0.745483659429295	1.01605059138534
LMO3	0.00969367394016559	0.824673603365857	0.712598875436234	0.9543750004827
FBLN5	0.065126992867404	0.866999395230158	0.744995297034617	1.00898348529378
SFTA3	6.52668220325689e-06	0.736459337086333	0.64475645759472	0.841204998868836
STC2	0.000993869785733754	1.27960634042221	1.10492064248198	1.48190949059533
INHA	0.00517701543361619	1.21003733090756	1.05865339114847	1.3830686742537
TPPP3	0.156510578881691	0.896432840391614	0.77061411104646	1.04279408566933
VSIG2	0.00376979949397673	0.805229651425884	0.695449509789822	0.93233913089019
SCGB3A2	0.021255187886481	0.845428244539323	0.732869905954917	0.975273934510294
KCNJ15	0.0110994624570087	0.82238278827572	0.707180391590505	0.956352096996164
CYP4X1	0.0133988331327531	0.828242178290149	0.713334214586849	0.961660175372524
C20orf85	0.190908286299533	0.905178855734586	0.779647403556918	1.05092219525253
ALOX15B	0.0644239772960968	0.868459235476653	0.747878892951554	1.00848071899463
ZNF385B	0.21835408251028	0.912780567209244	0.789329923668605	1.05553880436013
MYH11	0.128360834415095	0.897375441279989	0.780477827524235	1.03178162686172
C4BPA	0.00100513214173723	0.786176447470657	0.681177813393483	0.907359861705525
C1QB	0.88709615057152	0.989768721215476	0.858773843145768	1.14074517908929
CR2	0.00675304658828684	0.808332969521045	0.69298914514808	0.942875071261166
TEKT1	0.189212361791256	0.90293859436466	0.775288219460777	1.051606466767
VSIG4	0.263897699121638	0.924887154916723	0.806487799417639	1.06066855561565
C9orf24	0.115629024921828	0.887277481103743	0.764464467287565	1.02982069430529
FAM92B	0.0194835495280366	0.827505927306106	0.705965251627721	0.969971338033842
VWF	0.54853899338309	0.959536391905579	0.838413891737675	1.09815700391478
CPS1	0.000666828653524293	1.25970076204269	1.10284871242997	1.4388610078662
HS3ST2	0.0041370691591212	0.796413406298407	0.681657484429591	0.930488299798527
LTF	0.244324939699362	0.91720063350819	0.793002241590643	1.06085072397827
CCL13	0.0588535692005872	0.87173334362999	0.756026575997131	1.00514855763378
CPAMD8	0.00880839231586037	0.820698581486929	0.70789974319511	0.951471120210614
CD163	0.601412215617953	0.964181473841418	0.840856058176703	1.10559459667192
C1QC	0.995305729157392	0.999573273528726	0.867088893940793	1.15230022681061
CDHR4	0.201543437880024	0.905164108401352	0.776819753081992	1.05471322000683
POPDC3	0.000558642080834437	1.25928822595846	1.1047371474952	1.43546076968007
ZNF750	0.00128802310708784	0.784954157310885	0.677345897648188	0.90965787379681
LRRC31	0.288745050785757	0.920803110332052	0.790615299688083	1.07242848491762
FGL1	0.789201238560316	0.979265111975204	0.839825450091031	1.14185651247871
MORN5	0.146978985372597	0.894606891574434	0.769602431566015	1.03991549094244
WDR38	0.231955047748499	0.912957806549158	0.786326248610021	1.05998236484208
HOPX	0.0110159311004403	0.830894157815454	0.720306875229947	0.958459686049029
ALPL	0.120558196014169	0.890418582122514	0.769053276164792	1.03093670615763
MS4A15	0.0033311074958426	0.779212843241863	0.659652393950058	0.920443343557452
CAPSL	0.189325300308229	0.903111272947067	0.77562775527991	1.05154820179138
C1orf189	0.122568237480043	0.887387418973579	0.762520349273486	1.03270218572247
MS4A8	0.0813493011300142	0.872652489314006	0.748712913154855	1.01710863232891
DUSP4	0.281544999952677	1.08456203329192	0.935596360417032	1.25724602384514
TMEM190	0.189462921819205	0.904866709121628	0.77935590074159	1.05059031502488
TNNC1	0.0352661497594924	0.853059894635976	0.735738419401985	0.989089552272984
S100P	0.00508152079645162	1.24230254425563	1.0673633112645	1.44591405304691
CLEC5A	0.242657305480422	0.920070494616025	0.800074290309941	1.05806388896091
SPAG6	0.473089932478084	0.948217298914169	0.820020370474724	1.09645574467811
PLAC8	0.323780418138772	0.928597034857162	0.801532630667479	1.07580455261994
GPC3	0.0154677452567246	0.829373063298472	0.712818459032205	0.964985782016644
PPP1R1B	0.249045057027264	0.915978085314683	0.788997781549709	1.06339443835799
APOH	0.512190006042422	0.94961577856323	0.813595500623846	1.1083764920096
ALOX15	0.0341404734191372	0.837889565316402	0.711408003473743	0.986858343226415
NKX2-1	2.29880813610092e-05	0.756903495635974	0.665339116399894	0.861069021172085
PDCD1LG2	0.870330115786789	0.988265321947484	0.857673284490785	1.13874171461902
FCN3	0.0867454626201257	0.874252438619298	0.749639543456069	1.01957978751768
FLNA	0.407392557488269	1.06236449751439	0.920699941893976	1.22582643293897
SDR16C5	0.55874251187288	0.957748229340955	0.828715436407329	1.10687170831807
FOLR1	0.019689524741636	0.844750793195041	0.733081376253649	0.973430680029635
AKR1C2	0.386702635912762	1.06424162562811	0.92430298432554	1.22536685148324
FPR1	0.771010379054697	0.980543442976905	0.859021948860115	1.1192559687687
HABP2	0.00502186265836012	0.800727044216435	0.685583582782654	0.935208799395731
APOD	0.536381762377435	0.955067162592266	0.825547925465039	1.10490651956786
HAL	0.0212728134380181	1.18525324586008	1.02564538002463	1.36969881031211
FOSB	0.140493112278408	0.894475585088232	0.771201201820382	1.03745503823175
FXYD4	0.898501680338649	1.00876898835396	0.882123059333194	1.15359740469079
AKR7A3	0.613063774041921	0.962204490564981	0.828736860275737	1.11716701168013
FCGR3A	0.818376488881465	0.983598682559709	0.854117766590743	1.13270839944577
CD14	0.720964514820364	0.974770914102808	0.847238290954621	1.1215006983575
FGA	0.0352848475513154	1.16648395532174	1.01067189991372	1.34631705713714
ENO3	0.0745533711386042	0.874380586963031	0.754435334208771	1.01339555054065
PCP4L1	0.00154420598066774	0.782852199985453	0.672768427517224	0.910948763282107
SERPINB5	4.19099946792445e-05	1.33329817775424	1.16187335151715	1.53001532265243
PLA2G12B	0.0125071320374835	0.824787083821484	0.709070635945758	0.959387822810344
IL2RA	0.767344529590954	0.978137774141459	0.844892856097321	1.13239625391294
CHI3L1	0.138952213223894	0.896871454689371	0.776458579164171	1.03595790918108
CD274	0.599011997451474	1.03896917273919	0.900984679064026	1.19808579100782
CXCL9	0.622204632649333	0.962257790157794	0.825711739824707	1.12138414662232
COL25A1	0.246814914028035	0.916388435091927	0.790504578280115	1.06231865955451
ANXA1	0.12803339023689	1.11808101790901	0.968383912710597	1.29091896942946
IL4I1	0.600581046282995	1.03932693516093	0.899581369451714	1.20078129097913
AKR1C3	0.6859090160076	1.03039275071146	0.891221214181	1.19129706948728
ADAM8	0.759732231051165	1.0235640754233	0.881640670851953	1.18833380892553
CALCA	0.340382569277753	0.923073394606504	0.783016487568081	1.08818205664704
PI3	0.0258262459500307	1.16121544501791	1.01819298741965	1.32432783019392
TFF1	0.0124525215005079	1.19058486072912	1.03834781360776	1.36514209595364
SMOC1	0.00519141716947994	1.22197997194791	1.06171843110967	1.40643225933371
IRS2	0.114541579921787	1.124468689564	0.97201303963764	1.30083628742382
GBP5	0.651248646820255	0.966325536577591	0.832951596900016	1.12105558848464
ITGA2	0.0407211872009459	1.16019276267498	1.00629277255014	1.33762984618507
SH3RF2	0.20871137156849	1.09678405156686	0.949660757023299	1.26669997351687
CST6	0.448211060722263	1.06069936705401	0.910863154424383	1.23518350896493
NTS	0.000424029947494548	1.27133551365658	1.11245896701271	1.4529021170324
MYEOV	0.0118764903388484	1.20348017062345	1.04177000982292	1.39029201016261
HGD	0.0708978821125339	1.14294004677225	0.98868509683475	1.32126190098129
SCGB2A1	0.864105580837625	1.01399279386851	0.864819139162807	1.18889758500559
GPX2	0.0582092218792155	1.1520979914825	0.995090203739732	1.33387885539386
AKR1C1	0.87015546045101	1.01176959435343	0.879327977878437	1.1641591508642
TNC	0.412793901506201	1.0617949761681	0.919859016517927	1.22563191877333
SLC7A2	0.576675047346159	1.04346280633948	0.898681498093828	1.21156898247413
ASCL1	0.213049685088674	0.900263957690465	0.763042395474088	1.06216272952034
AREG	0.089946765044408	1.13111232240522	0.980981220016649	1.3042197544569
CXCL11	0.350135155305476	1.07100201343711	0.927466808191408	1.23675079545231
BPIFA2	0.333804194239479	0.928631448983614	0.799156192664379	1.07908363340878
NT5E	0.012948761892283	1.19993450227625	1.03927140405627	1.38543483841973
AIM2	0.919596141490718	1.0074182667281	0.872741955730859	1.16287701934481
KCNN4	0.0322950149666776	1.17658916084551	1.01382723517769	1.3654812234123
MUC13	0.0824971535626838	1.13603446931012	0.983710811434796	1.3119448322199
CXCL10	0.786377915711068	1.02061038764993	0.880614035836826	1.18286277641385
PGC	0.0102691375560219	0.823645976047569	0.710227282483652	0.955176899832722
KLK12	0.099633934212082	0.87098818542783	0.738940753296562	1.02663226486089
MET	0.084419689724678	1.13853858492123	0.982532708938216	1.31931496790094
AMBP	0.0737376445598628	0.865649971243774	0.739039348809449	1.01395125160995
FGG	0.440945688911218	1.05901682431236	0.915301251533253	1.22529782658763
MSMB	0.262039858583373	0.918232454397213	0.791065492840429	1.06584201679798
MMP13	0.696051889995506	1.02974457116491	0.888922866551487	1.192875019581
TESC	0.313008461975245	1.07952533631745	0.930409520268594	1.25253979711523
BPIFA1	0.812014446908603	1.01757351950605	0.881485836450363	1.17467102111315
